species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,18.950387,50.431521,83,85,28,7546,237,-62,299,175,-7,175,-20,661,92,31,38,261,100,261,107
pabulinus,14.676389,47.5625,28,86,31,6660,174,-99,273,113,-48,113,-58,1299,162,71,28,470,235,470,245
pabulinus,17.428726,50.256666,72,86,31,6843,219,-58,277,158,-7,158,-18,653,89,30,42,267,93,267,101
pabulinus,40.135,43.99611,77,93,32,6754,228,-55,283,143,-5,163,-9,1044,117,60,16,313,207,300,233
pabulinus,40.337269,55.46216,46,82,21,10548,241,-138,379,177,-26,177,-91,597,89,26,33,212,92,212,113
pabulinus,104.057617,51.537965,1,125,25,13253,242,-250,492,164,-147,164,-179,618,141,12,78,338,47,338,48
pabulinus,105.246596,51.580395,-3,121,24,13640,242,-259,501,165,-156,165,-188,538,123,9,80,296,37,296,42
pabulinus,136.498774,45.27763,17,98,24,10622,210,-191,401,147,-128,147,-128,875,146,18,62,411,63,411,63
pabulinus,136.034011,44.93537,19,98,24,10787,213,-192,405,149,-129,149,-129,843,145,17,63,400,59,400,59
pabulinus,59.583258,60.416544,-28,102,22,12115,208,-253,461,126,-163,126,-188,663,110,24,45,273,86,273,96
pabulinus,10.668755,59.387621,69,55,22,6924,203,-47,250,121,10,161,-16,742,88,37,26,250,131,212,144
pabulinus,83.820214,50.316112,-43,109,26,11072,172,-239,411,80,-170,97,-183,704,100,21,47,276,70,273,72
